Date,Open,High,Low,Close,Adj Close,Volume
2015-07-28,39800.0,40100.0,39500.0,40000.0,38533.0,1226600
2015-07-29,40000.0,40025.0,39550.0,39700.0,38244.003906,1302300
2015-07-30,39700.0,39700.0,38100.0,38500.0,37088.015625,2564200
2015-07-31,38700.0,40050.0,38550.0,40000.0,38533.0,2083400
2015-08-03,39250.0,39250.0,38725.0,38875.0,37449.261719,2204700
2015-08-04,38750.0,38850.0,38500.0,38600.0,37184.34375,1532300
2015-08-05,38600.0,39200.0,38550.0,39200.0,37762.339844,1426100
2015-08-06,39200.0,39325.0,38450.0,38450.0,37039.847656,1757600
2015-08-07,38725.0,38925.0,38250.0,38700.0,37280.675781,862000
2015-08-10,38700.0,38700.0,37775.0,38450.0,37039.847656,810200
2015-08-11,38500.0,38600.0,37025.0,37250.0,35883.855469,1664000
2015-08-12,37000.0,37000.0,35525.0,35750.0,34438.867188,2171400
2015-08-13,36150.0,38700.0,36000.0,37100.0,35739.355469,1791600
2015-08-14,37150.0,37425.0,36700.0,36800.0,35450.363281,1107300
2015-08-18,36800.0,36800.0,35800.0,36625.0,35281.777344,1946200
2015-08-19,36200.0,36600.0,35825.0,35925.0,34607.449219,1090400
2015-08-20,35950.0,36000.0,35600.0,35775.0,34462.949219,2168500
2015-08-21,35650.0,36925.0,35300.0,35600.0,34294.375,1680800
2015-08-24,35000.0,35000.0,33000.0,34000.0,32753.046875,3731500
2015-08-25,34000.0,37400.0,33625.0,37100.0,35739.355469,2358500
2015-08-26,36250.0,37000.0,35750.0,36250.0,34920.53125,2530300
2015-08-27,36600.0,39300.0,36600.0,38750.0,37328.84375,2643600
2015-08-28,39000.0,39700.0,38000.0,38000.0,36606.351563,1442500
2015-08-31,39000.0,40400.0,38750.0,39725.0,38268.085938,2946600
2015-09-01,39475.0,39475.0,38375.0,38925.0,37497.425781,1246100
2015-09-02,37750.0,38875.0,37750.0,38500.0,37088.015625,1878300
2015-09-03,38750.0,39000.0,38175.0,38475.0,37063.933594,959800
2015-09-04,38475.0,38975.0,38475.0,38950.0,37521.511719,1207700
2015-09-07,38800.0,39100.0,37500.0,38150.0,36750.847656,981000
2015-09-08,38375.0,38400.0,37400.0,37750.0,36365.519531,1418600
2015-09-09,38000.0,38325.0,37650.0,38000.0,36606.351563,1036800
2015-09-10,37950.0,38300.0,37500.0,37750.0,36365.519531,827300
2015-09-11,38300.0,38950.0,38000.0,38750.0,37328.84375,1341600
2015-09-14,38900.0,40250.0,38900.0,40250.0,38773.828125,1394300
2015-09-15,40250.0,40250.0,38425.0,39000.0,37569.679688,2748400
2015-09-16,39075.0,39175.0,38425.0,38425.0,37015.765625,1494200
2015-09-17,38975.0,39425.0,38950.0,39100.0,37666.011719,1384800
2015-09-18,39150.0,39550.0,38300.0,39100.0,37666.011719,2175100
